id,created_at,text
924232048549564416,2017-10-28 11:11:06,b'It\xe2\x80\x99s funny how people say \xe2\x80\x9cIt\xe2\x80\x99s funny how\xe2\x80\xa6\xe2\x80\x9d before they complain about something.'
922371671402602496,2017-10-23 07:58:37,b'Adulthood is wanting to cry but not having the time'
920624552408838146,2017-10-18 12:16:12,b'We are all just killing time until time kills us.'
920624256660074496,2017-10-18 12:15:01,"b'When you die, your email will quickly be overrun by spam. Like wilderness taking back an abandoned city.'"
917819930015277056,2017-10-10 18:31:38,b'Holding down the power button on a computer until it turns off feels like you are strangling someone.'
917819841590857728,2017-10-10 18:31:17,"b'\xe2\x80\x9cSend nudes, not nukes\xe2\x80\x9d is the \xe2\x80\x9cmake love, not war\xe2\x80\x9d of this century'"
917819729657569280,2017-10-10 18:30:50,b'Farts are just ghosts of the things we eat.'
915920877748764672,2017-10-05 12:45:28,"b'There is a country where the weapons used in a massacre are considered a constitutional right, yet healthcare for the victims isn\xe2\x80\x99t.'"
915920774250168323,2017-10-05 12:45:04,b'Conspiracy theories make dumb people feel smart.'
915231306220318725,2017-10-03 15:05:22,b'Cannibalism has the potential to solve both of the world\xe2\x80\x99s hunger and overpopulation problem'
914760315832692738,2017-10-02 07:53:49,b'life is a try not to kill yourself challenge'
913035443356045312,2017-09-27 13:39:47,"b'It\xe2\x80\x99s only a gambling addiction if you keep losing, otherwise it\xe2\x80\x99s a high paying career.'"
912340555866054657,2017-09-25 15:38:33,b'We sleep because the simulation running Earth doesn\xe2\x80\x99t have the processing power to run all creatures at once.'
910859456530890752,2017-09-21 13:33:12,"b""every single person you've ever loved will either go to your funeral or you will go to theirs."""
910859248694812673,2017-09-21 13:32:22,"b""Someday you and every single thing you've ever known or loved won't exist."""
910196235260256256,2017-09-19 17:37:47,b'How does the the human brain ignore the second \xe2\x80\x9cthe\xe2\x80\x9d'
910030101235953664,2017-09-19 06:37:38,"b'The symbol \xe2\x80\x9c3\xe2\x80\x9d should really represent the value of four, because it looks like half of \xe2\x80\x9c8\xe2\x80\x9d'"
910029714554732544,2017-09-19 06:36:06,"b'If you brought the iPhone X to 1990 and said it was $999, they\xe2\x80\x99d never believe such a thing could be that cheap.'"
910029400824934400,2017-09-19 06:34:51,b'One day we went out to play with our friends for the last time ever. None of us realised.'
909113535707234304,2017-09-16 17:55:32,b'As a child I would have thought that your favorite color plays a much bigger role in adulthood'
909113327946686464,2017-09-16 17:54:42,b'You will never know if you are immortal or not.'
909033773827637248,2017-09-16 12:38:35,"b""The new iPhone still doesn't have the automatic detonation feature of Samsung.\n\nSamsung &gt; Apple"""
907217909922930688,2017-09-11 12:22:59,"b'Days are long, years are short.'"
906519851212070912,2017-09-09 14:09:09,b'Seeing someone reading a book you love is seeing a book recommending a person'
906418828002734081,2017-09-09 07:27:43,b'You spend your entire childhood being told not to talk to strangers but as an adult its one of the most important things you have to do.'
906218923158249472,2017-09-08 18:13:22,"b'People are concerned about the planet we\xe2\x80\x99re leaving for our kids, but give zero fucks about what kind of kids we\xe2\x80\x99re leaving for our planet'"
906145175897948160,2017-09-08 13:20:19,b'Without nipples boobs would be pointless.'
904997196428328961,2017-09-05 09:18:40,"b'When you put on your seatbelt, you are wearing your car.'"
904997110033956864,2017-09-05 09:18:19,b'Having one side of the family meet the other is like doing a crossover episode between tv shows'
904620643269746688,2017-09-04 08:22:23,b'I look most homeless when im at home.'
904024651747082240,2017-09-02 16:54:07,b'Maybe that guy listening to headphones isn\xe2\x80\x99t socially awkward. Maybe he just wants to be left the fuck alone.'
904024348574474240,2017-09-02 16:52:55,"b'A broken clock is right twice a day, a working clock is almost wrong the entire day.'"
904023980935340032,2017-09-02 16:51:27,b'Hockey is a lot more fun to watch if you pretend everyone is fighting over the last Oreo.'
903600255131762688,2017-09-01 12:47:43,"b'If basketball was not a sport, Michael Jordan would have just been a normal guy. Maybe I\xe2\x80\x99m amazing at a sport that was never created.'"
903600050466463744,2017-09-01 12:46:54,"b'\xe2\x80\x9cYou wouldn\xe2\x80\x99t download a car\xe2\x80\x9d is a popular anti piracy saying, if I could download I car, I would definitely download a car.'"
903277848877662209,2017-08-31 15:26:35,b'Life is just a really long story about how you died.'
903146426036658176,2017-08-31 06:44:22,b'Hundreds of years ago being fat was expensive. Today staying fit is expensive'
902546724727566337,2017-08-29 15:01:22,"b'15 years ago, the internet was an escape from the real world. Now, the real world is an escape from the internet.'"
899641787375009793,2017-08-21 14:38:11,"b'To find a needle in a haystack, all you\xe2\x80\x99d have to do is burn the haystack..'"
899181515023634432,2017-08-20 08:09:13,"b'If Jon Snow is turned into a white walker, does he become Jonny Walker or Snow White?'"
898461973796470784,2017-08-18 08:30:01,b'Kryptonite is everyone\xe2\x80\x99s weakness if you hit them hard enough with it.'
898461778358566913,2017-08-18 08:29:15,b'If your parachute doesn\xe2\x80\x99t deploy you have the rest of your life to fix it'
898226136823418880,2017-08-17 16:52:53,"b'Say no to Drugs. Say yes to drugs. Actually, if you are talking to drugs, it\xe2\x80\x99s already too late.'"
897772835082457088,2017-08-16 10:51:38,b'In the UK you need a tv licence to watch tv or you could end up in prison where you get to watch tv all day without paying for a licence'
897772686952194048,2017-08-16 10:51:03,b'Brain surgery is just a bunch of brains trying to help another brain out.'
897772452003983360,2017-08-16 10:50:07,"b'I\xe2\x80\x99m not anti-social, I\xe2\x80\x99m pro-solitude'"
897128328280236032,2017-08-14 16:10:35,b'The best part about being a procrastinator is you always have something to do. Tomorrow.'
896688733923098624,2017-08-13 11:03:48,"b'Dora is an explorer, but the only places she visits are already mapped.'"
896688583213432834,2017-08-13 11:03:12,b'I wonder if receptionists at sperm banks ever say \xe2\x80\x9cThanks for coming\xe2\x80\x9d.'
896688371006713856,2017-08-13 11:02:21,b'What if aliens haven\xe2\x80\x99t visited Earth yet because they are looking for a solar system with 4 or 5 stars but we only have a 1-star rating?'
896312907612340224,2017-08-12 10:10:24,b'You only know your age because someone told you.'
896312433840500736,2017-08-12 10:08:31,b'Isn\xe2\x80\x99t it weird how KFC is one letter away from Fuck? \nNew slogan idea\xe2\x80\xa6 KFC: all that\xe2\x80\x99s missing is u.'
896002317673152512,2017-08-11 13:36:14,b'Sanity is the belief that the voice inside your head is yours.'
895639971897331712,2017-08-10 13:36:24,"b'Among your Dad, mom and you, one person will attend two funerals and one will attend none.'"
894573743875342337,2017-08-07 14:59:35,b'Your great great grandchildren will probably do a history project on your social media posts.'
893560047002828800,2017-08-04 19:51:31,"b'When i was a kid, i couldn\xe2\x80\x99t swear because adults were around. As an adult, I cant swear because kids are around'"
892976335215362048,2017-08-03 05:12:03,b'A r\xc3\xa9sum\xc3\xa9 is just a fancy version of a \xe2\x80\x9cWill work for food\xe2\x80\x9d sign.'
892832119264866306,2017-08-02 19:38:59,b'You have been trained from birth to be a slave just to generate a currency which has no real value'
892724533148385280,2017-08-02 12:31:29,b'Working is just selling away your life for money'
892367878653169664,2017-08-01 12:54:16,b'stop worshipping rich people'
891953754953723905,2017-07-31 09:28:41,"b""Depression isn't always at 3am when you are alone, sometimes it's at 3 pm when you're surrounded by friends in the middle of laughing."""
891674437631832065,2017-07-30 14:58:47,b'We probably have not found the animal with the best camouflage'
891283132560887808,2017-07-29 13:03:52,b'Toothpaste never runs out. Your will to squeeze it out of the tube does.'
891282864796512256,2017-07-29 13:02:48,"b'A sheep spends it\xe2\x80\x99s life fearing the wolves, only to be eaten by the shepherd in the end.'"
890603513520246784,2017-07-27 16:03:18,"b'If the Titanic had reached New York, it would have been just another ship.'"
890067515983966208,2017-07-26 04:33:27,"b'We dream of making Mars more like Earth, while we continue to make Earth more like Mars.'"
889561486997282822,2017-07-24 19:02:40,b'What if depressed people are actually just the ones who see the world for what it really is?'
889561382303268864,2017-07-24 19:02:15,b'Telling depressed people just be happy is like telling people with Alzheimer that they just need to stop forgetting.'
888277649201614849,2017-07-21 06:01:09,b'To not judge a book by its cover is to deprive the cover designer of the satisfaction of people appreciating his hard work.'
886117588136284160,2017-07-15 06:57:50,b'We used to read things on scrolls. Now we scroll to read things.'
885862886366748673,2017-07-14 14:05:45,b'Prison is actually a free hotel where you just pay with your freedom.'
885860772768866304,2017-07-14 13:57:21,b'Pooping is a form of 3D printing'
884450229302562819,2017-07-10 16:32:21,"b'The quickest way to knowledge is not asking questions, but publishing your understanding online and waiting for angry people to correct you'"
884449872711122944,2017-07-10 16:30:56,b'Maybe if I fall in love with my anxiety it will leave me too'
883939072552689664,2017-07-09 06:41:12,b'living in a democracy sucks when most people are stupid'
883618975858470912,2017-07-08 09:29:15,"b'With the rise of self-driving vehicles, it\xe2\x80\x99s only a matter of time before we get a country song where a guy\xe2\x80\x99s truck leaves him too.'"
883618620387069952,2017-07-08 09:27:50,b'Finding glasses attractive is undoing millions of years of evolution by preferring mates with poorer genetics'
882959217690390528,2017-07-06 13:47:36,b'Time heals everything yet it slowly kills you.'
882310926325751809,2017-07-04 18:51:32,b'Supervillains would have a lot more success if they committed crimes during the day when all the heroes are at their dayjobs.'
881899231182761986,2017-07-03 15:35:36,b'A billionaire could give me 0.1% of his wealth and change my life while his life is virtually unaffected'
881569631550492672,2017-07-02 17:45:53,"b'If aliens landed tomorrow and asked me to ""take them to my leader"", my response would be \xe2\x80\x9coh Sorry, I\xe2\x80\x99m not with those guys.\xe2\x80\x9d'"
880896327898595330,2017-06-30 21:10:25,"b'When I was young I used to sneak away from home to go to parties, now I sneak away from parties to go home.'"
880895666372968448,2017-06-30 21:07:47,"b'If snails are so slow, how come nobody sees them coming? It\xe2\x80\x99s always like bam, there\xe2\x80\x99s a snail'"
879548393030385665,2017-06-27 03:54:12,"b'1997: Dont trust anyone on the internet, don\xe2\x80\x99t get into strangers cars.\n\n 2017: use the internet to get into a stranger\xe2\x80\x99s car.'"
879245828715679744,2017-06-26 07:51:55,"b'If a woman offers to split the bill, she is independent. If a man offers to split the bill, he is cheap.'"
877731113929629696,2017-06-22 03:32:59,"b""In 50 years or so it's gonna be pretty weird when we would watch old videos in 4K"""
877730366924234752,2017-06-22 03:30:01,"b'After you die, are you still a Human being or Human been?'"
877725691143307265,2017-06-22 03:11:26,b'Technically we all are time travelling to the future at the rate of 1 second per second.'
875047389723320320,2017-06-14 17:48:49,"b'If Wonder Woman married Optimus Prime, she\xe2\x80\x99d be Amazon Prime.'"
874671273078644736,2017-06-13 16:54:16,b'The Big Bang Theory is a dumb show about smart people\nArrested Development is a smart show about dumb people'
874215415483944960,2017-06-12 10:42:51,"b'When you\xe2\x80\x99re drinking beer, the beer is getting drunk too.'"
874214918114947072,2017-06-12 10:40:53,b'My daydreams basically just consist of what would happen if I was an extremely confident version of myself.'
872759524687585280,2017-06-08 10:17:40,b'Boomerang is like a frisbee for someone who has no friends.'
870674404518309889,2017-06-02 16:12:09,b'I have never been offended by anyone that apologizes for their English.'
870485471658430464,2017-06-02 03:41:23,b'The meaning of life is to keep yourself busy with unnecessary shit and eventually youll be dead forever.'
869806054649081856,2017-05-31 06:41:38,b'Every show is a mystery show if you start in season 2'
868877502973870080,2017-05-28 17:11:54,b'Maybe grandparents pretend to be bad with technology so that they have an excuse to spend time with us'
868876540729315328,2017-05-28 17:08:04,"b'Intelligence is like underwear. It\xe2\x80\x99s important that you have it, but not necessary that you show it off.'"
868535110538342400,2017-05-27 18:31:21,b'Life is just collecting people to come to your funeral.'
867803771858014209,2017-05-25 18:05:16,b'Its been two weeks now that I am banned from Facebook.\nNo reply or help from Facebook team.\nMy id still disabled and I cannot access my page'
866658896873738240,2017-05-22 14:15:57,b'Pizza smells better when it\xe2\x80\x99s not your pizza.'
865925684182605825,2017-05-20 13:42:25,"b""I listen to dead people sing to me all the time. \n\nAnd they're still the best."""
865540625516580864,2017-05-19 12:12:20,b'We live in a age where we have to prove to machines that we are not machines.'
865116361256824832,2017-05-18 08:06:28,b'The worst part about growing up is realising how fucked up the world and everyone is.'
865111742124367873,2017-05-18 07:48:06,b'If we started over-paying our teachers and under-paying musicians there might be better education and less shitty music'
864922275774124036,2017-05-17 19:15:14,b'Everything we do in life is to distract ourselves from the fact that we are going to be eventually dead forever.'
864825742399594496,2017-05-17 12:51:39,b'The worst part about realizing how lonely you are is when you realize you have no one to tell how lonely you are.'
864551553335791616,2017-05-16 18:42:07,"b'If you eat a cannibal, the number of cannibals in the world stays the same.'"
864161093844963328,2017-05-15 16:50:34,"b'Parents are the opposite of fake friends. They have your back when you aren\xe2\x80\x99t there, but talk shit about you to your face'"
863808909865345024,2017-05-14 17:31:07,b'No post on the facebook page because my ID got disabled by Facebook without any proper reason'
862634430300598272,2017-05-11 11:44:09,b'You were born too late to explore Earth and too early to explore the Universe.'
862634074694967300,2017-05-11 11:42:45,b'Not a single one of the countless people forcibly dragged from their cars in GTA is wearing a seatbelt.'
861950738175545345,2017-05-09 14:27:24,b'Do transformers get car insurance or life insurance?'
861604202807799808,2017-05-08 15:30:24,b'In public schools and colleges you get graded on how obedient you are not on how intelligent you are.'
861218110220767232,2017-05-07 13:56:12,"b'Building a tree house is the biggest insult to a tree. \xe2\x80\x9cHey, I killed your friend. Here, hold him.\xe2\x80\x9d'"
861218002301329408,2017-05-07 13:55:47,b'The line between \xe2\x80\x9cdrugs will destroy your life\xe2\x80\x9d and \xe2\x80\x9cwe\xe2\x80\x99ll destroy your life if we catch you doing drugs\xe2\x80\x9d is apparently a really blurry one.'
860882351974473728,2017-05-06 15:42:01,b'It\xe2\x80\x99s faster to say \xe2\x80\x9cWorld Wide Web\xe2\x80\x9d than it is to say \xe2\x80\x9cWWW\xe2\x80\x9d'
860880302817898497,2017-05-06 15:33:53,b'You\xe2\x80\x99re the bad guy in someone\xe2\x80\x99s story'
860880004531539968,2017-05-06 15:32:42,b'\xe2\x80\x9cextra ordinary\xe2\x80\x9d is the exact opposite of extraordinary'
860879432164290560,2017-05-06 15:30:25,b'One day I will stop existing and will never exist again for infinity years but for some reason I\xe2\x80\x99m bored and want to sleep most the time.'
859753930766594049,2017-05-03 12:58:05,b'The pickup line \xe2\x80\x9cdid it hurt when you fell from Heaven\xe2\x80\x9d is actually informing somebody that you think they may be Satan.'
858582233044701184,2017-04-30 07:22:10,"b'Every year you pass your birthday and know that you were born that day, But every year you pass your death day and have no clue'"
858348819158884352,2017-04-29 15:54:40,b'Pregnancy is like a group project where one person gets stuck with all the work.'
